account_id,token_address,token_symbol,token_decimals,balance
0x000a460f9e5fc39b30976cbf3484d4826941f558,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0
0x000a460f9e5fc39b30976cbf3484d4826941f558,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,0
0x00678920b62b9b453337b5c781fe868dbb1366e5,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,8,0
0x00678920b62b9b453337b5c781fe868dbb1366e5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,1
0x00678920b62b9b453337b5c781fe868dbb1366e5,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0
0x00b2e0166500fe321dd72ea2cb1af23af5e30af0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,224064496
0x00b2e0166500fe321dd72ea2cb1af23af5e30af0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,0
0x00b68b4d755c8d4bbbf0dbf68673adbfe240dc60,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0
0x00b68b4d755c8d4bbbf0dbf68673adbfe240dc60,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,0
0x00bc203d37f6891965797f728119c38137f06d30,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,5074
0x00bc203d37f6891965797f728119c38137f06d30,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,0
0x00ca46c91e69daf3956144f244d322860e98ac6f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,100758642
0x00ca46c91e69daf3956144f244d322860e98ac6f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,0
0x010dd4878c0850e24ec03473dc7bcaa0aaacfa9c,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,203010
0x010dd4878c0850e24ec03473dc7bcaa0aaacfa9c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,0
0x016215891d27b16b70565b7a5df42a2f588f8c1e,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,1006717352
0x016215891d27b16b70565b7a5df42a2f588f8c1e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,0
0x01cfd7f4e29ccec57c95076c08a78958bc8d6252,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0
0x01cfd7f4e29ccec57c95076c08a78958bc8d6252,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,1631858500037912376
0x02e25f864bf3f22202acce5db21c6f1731146012,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,8,0
0x02e25f864bf3f22202acce5db21c6f1731146012,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,1
0x02e25f864bf3f22202acce5db21c6f1731146012,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0
0x0337888ad2c78bd79205eb70daaf5c56c50fabf4,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,8,0
0x0337888ad2c78bd79205eb70daaf5c56c50fabf4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,0
0x0433ab5d4605f6a1fc7c4d19eaf54370f928c7d6,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,8,0
0x0433ab5d4605f6a1fc7c4d19eaf54370f928c7d6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,0
0x0493198ea68a883aca3344d1e7677813ffadeb6b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,13807330
0x0493198ea68a883aca3344d1e7677813ffadeb6b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,32698846936323505
0x04dc7f3e8199f4e5386a354e81dedd41becabe7f,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,8,0
0x04dc7f3e8199f4e5386a354e81dedd41becabe7f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,1
0x04dc7f3e8199f4e5386a354e81dedd41becabe7f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0
0x05f30ae6611d679298b60d2eb413ebeb15708dd6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0
0x05f30ae6611d679298b60d2eb413ebeb15708dd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,0
0x065cc800d65872ec72ad2fea3d4ba2ae53819a4e,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,8,0
0x065cc800d65872ec72ad2fea3d4ba2ae53819a4e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,548660810013650456
0x065cc800d65872ec72ad2fea3d4ba2ae53819a4e,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,264582816
0x067cadb45bb1867392f3dd7414728e3f83293f98,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0
0x067cadb45bb1867392f3dd7414728e3f83293f98,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,3918217642154
0x06a1de94d9ec04a4a417879ab85ade6877aad109,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0
0x06a1de94d9ec04a4a417879ab85ade6877aad109,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,101414763727691999
0x06bd69054c344b95fc7b5cf2695dd712c2a962e0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0
0x06bd69054c344b95fc7b5cf2695dd712c2a962e0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,0
0x06e5dc4da289db4ebf1bc65983d30196f0813f24,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0
0x06e5dc4da289db4ebf1bc65983d30196f0813f24,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,0
0x06fa7237b38eb71cf1cd3217dc4deaff2f9d6de9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0
0x06fa7237b38eb71cf1cd3217dc4deaff2f9d6de9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,0
0x06fb6e4474b139e51a692064df639f295332f40e,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0
0x06fb6e4474b139e51a692064df639f295332f40e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,0
0x079cce6f2467ac331bbdafa41543b5b9a2064686,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,1
0x079cce6f2467ac331bbdafa41543b5b9a2064686,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,6,0
0x079cce6f2467ac331bbdafa41543b5b9a2064686,0x0000000000000000000000000000000000000000,ETH,18,0
